Sample in Buffer,Sample in Window,TRIGGER,design_1_i/xlslice_bit0_Dout,design_1_i/xlslice_bit1_Dout,design_1_i/hier_0_test,design_1_i/hier_0_dout_mem,design_1_i/hier_0_dout_fifo,design_1_i/New_cdr_A_dout10b[9:0],design_1_i/dv_1[1:0],design_1_i/d_in_1[1:0],design_1_i/hier_0_address[13:0],design_1_i/address_counter_0_address[13:0],design_1_i/h_bert_Q[31:0]
0,0,0,0,0,1,1,0,1111111111,3,3,3081,0000,8349
1,1,0,0,0,1,0,0,1111111111,3,1,3082,0000,8350
2,2,0,0,0,1,0,1,1111111111,3,1,3083,0000,8351
3,3,0,0,0,1,1,0,1111111111,3,1,3084,0000,8351
4,4,0,0,0,1,0,1,1111111111,3,1,3085,0000,8352
5,5,0,0,0,1,1,1,1111111111,3,1,3086,0000,8353
6,6,0,0,0,1,1,1,1111111111,3,1,3087,0000,8354
7,7,0,0,0,1,1,1,1111111111,3,1,3088,0000,8354
8,8,0,0,0,1,1,0,1111111111,3,1,3089,0000,8354
9,9,0,0,0,1,0,1,1111111111,3,1,308a,0000,8354
10,10,0,0,0,1,1,0,1111111111,0,0,308b,0000,8355
11,11,0,0,0,1,0,1,1111111111,3,1,308c,0000,8356
12,12,0,0,0,1,1,0,1111111111,3,1,308d,0000,8357
13,13,0,0,0,1,0,0,1111111111,3,1,308e,0000,8358
14,14,0,0,0,1,0,0,1111111111,3,1,308f,0000,8359
15,15,0,0,0,1,0,1,1111111111,3,1,3090,0000,8359
16,16,0,0,0,1,1,0,1111111111,3,1,3091,0000,8359
17,17,0,0,0,1,0,1,1111111111,3,1,3092,0000,8360
18,18,0,0,0,1,1,1,1111111111,3,1,3093,0000,8361
19,19,0,0,0,1,1,1,1111111111,3,1,3094,0000,8362
20,20,0,0,0,1,1,0,1111111111,3,3,3095,0000,8362
21,21,0,0,0,1,0,0,1111111111,3,1,3096,0000,8362
22,22,0,0,0,1,0,1,1111111111,3,1,3097,0000,8363
23,23,0,0,0,1,1,0,1111111111,3,1,3098,0000,8363
24,24,0,0,0,1,0,1,1111111111,3,1,3099,0000,8364
25,25,0,0,0,1,1,1,1111111111,3,1,309a,0000,8365
26,26,0,0,0,1,1,1,1111111111,3,1,309b,0000,8366
27,27,0,0,0,1,1,0,1111111111,3,1,309c,0000,8366
28,28,0,0,0,1,0,1,1111111111,3,1,309d,0000,8366
29,29,0,0,0,1,1,0,1111111111,3,1,309e,0000,8367
30,30,0,0,0,1,0,1,1111111111,0,0,309f,0000,8368
31,31,0,0,0,1,1,1,1111111111,3,1,30a0,0000,8369
32,32,0,0,0,1,1,1,1111111111,3,1,30a1,0000,8370
33,33,0,0,0,1,1,1,1111111111,3,1,30a2,0000,8370
34,34,0,0,0,1,1,0,1111111111,3,1,30a3,0000,8370
35,35,0,0,0,1,0,1,1111111111,3,1,30a4,0000,8370
36,36,0,0,0,1,1,0,1111111111,3,1,30a5,0000,8371
37,37,0,0,0,1,0,1,1111111111,3,1,30a6,0000,8372
38,38,0,0,0,1,1,0,1111111111,3,1,30a7,0000,8373
39,39,0,0,0,1,0,1,1111111111,3,1,30a8,0000,8374
40,40,0,0,0,1,1,1,1111111111,3,3,30a9,0000,8375
41,41,0,0,0,1,1,0,1111111111,3,1,30aa,0000,8376
42,42,0,0,0,1,0,1,1111111111,3,1,30ab,0000,8376
43,43,0,0,0,1,1,1,1111111111,3,1,30ac,0000,8377
44,44,0,0,0,1,1,0,1111111111,3,1,30ad,0000,8378
45,45,0,0,0,1,0,1,1111111111,3,1,30ae,0000,8378
46,46,0,0,0,1,1,1,1111111111,3,1,30af,0000,8379
47,47,0,0,0,1,1,1,1111111111,3,1,30b0,0000,8380
48,48,0,0,0,1,1,1,1111111111,3,1,30b1,0000,8380
49,49,0,0,0,1,1,1,1111111111,3,1,30b2,0000,8380
50,50,0,0,0,1,1,1,1111111111,0,0,30b3,0000,8380
51,51,0,0,0,1,1,0,1111111111,3,1,30b4,0000,8380
52,52,0,0,0,1,0,1,1111111111,3,1,30b5,0000,8380
53,53,0,0,0,1,1,0,1111111111,3,1,30b6,0000,8381
54,54,0,0,0,1,0,1,1111111111,3,1,30b7,0000,8382
55,55,0,0,0,1,1,1,1111111111,3,1,30b8,0000,8383
56,56,0,0,0,1,1,0,1111111111,3,1,30b9,0000,8384
57,57,0,0,0,1,0,1,1111111111,3,1,30ba,0000,8384
58,58,0,0,0,1,1,1,1111111111,3,1,30bb,0000,8385
59,59,0,0,0,1,1,1,1111111111,3,1,30bc,0000,8386
60,60,0,0,0,1,1,1,1111111111,3,3,30bd,0000,8386
61,61,0,0,0,1,1,0,1111111111,3,1,30be,0000,8386
62,62,0,0,0,1,0,1,1111111111,3,1,30bf,0000,8386
63,63,0,0,0,1,1,0,1111111111,3,1,30c0,0000,8387
64,64,0,0,0,1,0,1,1111111111,3,1,30c1,0000,8388
65,65,0,0,0,1,1,1,1111111111,3,1,30c2,0000,8389
66,66,0,0,0,1,1,0,1111111111,3,1,30c3,0000,8390
67,67,0,0,0,1,0,1,1111111111,3,1,30c4,0000,8390
68,68,0,0,0,1,1,1,1111111111,3,1,30c5,0000,8391
69,69,0,0,0,1,1,1,1111111111,3,1,30c6,0000,8392
70,70,0,0,0,1,1,1,1111111111,0,0,30c7,0000,8392
71,71,0,0,0,1,1,1,1111111111,3,1,30c8,0000,8392
72,72,0,0,0,1,1,0,1111111111,3,1,30c9,0000,8392
73,73,0,0,0,1,0,0,1111111111,3,1,30ca,0000,8392
74,74,0,0,0,1,0,0,1111111111,3,1,30cb,0000,8393
75,75,0,0,0,1,0,1,1111111111,3,1,30cc,0000,8393
76,76,0,0,0,1,1,0,1111111111,3,1,30cd,0000,8393
77,77,0,0,0,1,0,1,1111111111,3,1,30ce,0000,8394
78,78,0,0,0,1,1,0,1111111111,3,1,30cf,0000,8395
79,79,0,0,0,1,0,1,1111111111,3,1,30d0,0000,8396
80,80,0,0,0,1,1,0,1111111111,3,3,30d1,0000,8397
81,81,0,0,0,1,0,0,1111111111,3,1,30d2,0000,8398
82,82,0,0,0,1,0,0,1111111111,3,1,30d3,0000,8399
83,83,0,0,0,1,0,0,1111111111,3,1,30d4,0000,8399
84,84,0,0,0,1,0,0,1111111111,3,1,30d5,0000,8399
85,85,0,0,0,1,0,1,1111111111,3,1,30d6,0000,8399
86,86,0,0,0,1,1,0,1111111111,3,1,30d7,0000,8399
87,87,0,0,0,1,0,1,1111111111,3,1,30d8,0000,8400
88,88,0,0,0,1,1,1,1111111111,3,1,30d9,0000,8401
89,89,0,0,0,1,1,0,1111111111,3,1,30da,0000,8402
90,90,0,0,0,1,0,1,1111111111,0,0,30db,0000,8402
91,91,0,0,0,1,1,1,1111111111,3,1,30dc,0000,8403
92,92,0,0,0,1,1,1,1111111111,3,1,30dd,0000,8404
93,93,0,0,0,1,1,1,1111111111,3,1,30de,0000,8404
94,94,0,0,0,1,1,0,1111111111,3,1,30df,0000,8404
95,95,0,0,0,1,0,1,1111111111,3,1,30e0,0000,8404
96,96,0,0,0,1,1,0,1111111111,3,1,30e1,0000,8405
97,97,0,0,0,1,0,1,1111111111,3,1,30e2,0000,8406
98,98,0,0,0,1,1,0,1111111111,3,1,30e3,0000,8407
99,99,0,0,0,1,0,0,1111111111,3,1,30e4,0000,8408
100,100,0,0,0,1,0,1,1111111111,3,3,30e5,0000,8409
101,101,0,0,0,1,1,0,1111111111,3,1,30e6,0000,8409
102,102,0,0,0,1,0,1,1111111111,3,1,30e7,0000,8410
